Hashtag,degree centrality, betweenness centrality, closeness centrality 
#bare,0.546875,0,0.546875
#whileyouweresleeping,0.546875,0,0.53125
#newyork_ig,0.546875,0,0.515625
#nycphotography,0.546875,0.000239257,0.484375
#frozen,0.546875,0.000239257,0.46875
#fit,0.546875,0.000239257,0.453125
#thenewyorklifeinc,0.546875,0.000239257,0.4375
#icicles,0.546875,0.000505379,0.40625
#manhattan,0.546875,0.000505379,0.390625
#angel,0.390625,0,0.380952381
#twiligh,0.546875,0.000638835,0.359375
#goodmorning,0.546875,0.000638835,0.34375
#malebeauty,0.390625,0,0.31640625
#newyork_instagram,0.546875,0.000654256,0.3125
#muscle,0.546875,0.000654256,0.296875
#winterfashion,0.546875,0.000654256,0.28125
#satyr,0.390625,0,0.28125
#waterfall,0.546875,0.000654256,0.265625
#adonis,0.390625,0,0.24609375
#just_newyork,0.546875,0.000681814,0.21875
#fitness,0.546875,0.000681814,0.203125
#man,0.546875,0.000681814,0.1875
#devil,0.390625,0,0.17578125
#greekgod,0.390625,0,0.17578125
#fireandice,0.546875,0.000681814,0.171875
#newyork,0.5625,0.003161972,0.15625
#newyor_instagram,0.546875,0.000681814,0.140625
#vangogh,0.0625,0,0.127604167
#centralpark,0.546875,0.000941246,0.09375
#anthonysautomotiverepairsinc,0.09375,0,0.09375
#bar,0.546875,0.000941246,0.078125
#newyearseve,0.390625,0,0.0765625
#newyearsbaby,0.390625,0,0.0765625
#scary,0.078125,0,0.065104167
#tomorrowisnotgauranteed,0.09375,8.27E-05,0.0625
#wintery,0.0625,0,0.0625
#givenchy,0.0625,0,0.0625
#nyc,0.546875,0.001060973,0.046875
#justhavingfun,0.09375,8.27E-05,0.046875
#homoerot,0.390625,0,0.041666667
#blackandwhite,0.046875,0,0.03515625
#snow,0.03125,0,0.03515625
#flatirondistrict,0.0625,0.000248016,0.03125
#twd,0.046875,0.000248016,0.03125
#livinglife,0.09375,8.27E-05,0.03125
#classicbeauty,0.390625,0,0.015625
#pan,0.390625,0,0.015625
#fourxmases,0.078125,0,0.015625
#fame,0.046875,0,0.015625
#foresthills,0.03125,0,0.015625
#fashion,0.03125,0,0.015625
#gucci,0.03125,0,0.015625
#guccimane,0.03125,0,0.015625
#myrideordie,0.015625,0,0.015625
#yoloswag,0.015625,0,0.015625
#Who,0.015625,0,0.015625
#winter,0.609375,0,0
#havingfun,0.09375,0,0
#fashionicon,0.0625,0,0
#fearthewalkingdead,0.046875,0,0
#unforgettablewknd,0.03125,0,0
#pic,0.015625,0,0
#picasso,0.015625,0,0
#moma,0.015625,0,0
#The,0.015625,0,0
