date,favorites,geo,hashtags,mentions,permalink,retweets,term,text,tweet_id,username
2017-11-01 18:13:41,1,,,,https://twitter.com/AthensServices/status/925848345263800320,0,@LACity,"This is a safety issue & CA law, not OSHA. Must be constant upon backup & audible 100 ft+. Tampering illegal. More info msg’d to you.",925848345263800320,
2017-11-01 18:12:13,1,,# # # #,@ @ @,https://twitter.com/d4sm/status/925847977670868992,0,@LACity,# CollegeFootballPlayoff SELECTS # LOSANGELES TO HOST THE # NATIONALCHAMPIONSHIP IN 2023 via @ lacity @ LASEC @ discoverLA # LA,925847977670868992,
2017-11-01 16:42:45,0,,# #,@ @ @ @ @ @,https://twitter.com/RosesRoute/status/925825459966787584,0,@LACity,@ Dr_Merwin_CUSD @ CapoUnified @ caposchoolbuses @ CapoValleyGSA I was honored today @ LACity by @ LACityCouncil for being a # Transgender # Veteranpic.twitter.com/bp9YPbtVzj,925825459966787584,
2017-11-01 15:21:44,1,,,,https://twitter.com/FrankVi87853038/status/925805073023754240,0,@LACity,Go Dodgerspic.twitter.com/OCX0sLuyUU,925805073023754240,
2017-11-01 15:17:38,0,,,@,https://twitter.com/amyalkon/status/925804038670532609,0,@LACity,"""Invest"" in @ LACity by paying to replace yr noise-polluting backup beeps w/OSHA approved quieter tech. Residents now paying for your profits https://twitter.com/AthensServices/status/925803051138428928 …",925804038670532609,
2017-11-01 15:13:42,6,,# # #,@,https://twitter.com/AthensServices/status/925803051138428928,2,@LACity,"Through # recycLA, Athens is investing in @ LACity communities - 150+ new # jobs and 110 # nearzeroemissions vehicles:https://goo.gl/GAQYDm",925803051138428928,
2017-11-01 14:43:01,15,,# # # #,@ @,https://twitter.com/CityofChinoGov/status/925795329659637760,3,@LACity,". @ MayorOfLA Mayor & @ LACity, Chino City Hall is rooting for the Los Angeles Dodgers tonight! # MLBMemorybank # WS17 # ThisTeam # WorldSeriespic.twitter.com/04gz1gT8jJ",925795329659637760,
2017-11-01 14:41:58,0,,#,@ @,https://twitter.com/gathersstrat/status/925795064210534406,0,@LACity,"@ LACity needs to declare public holiday today in support of @ Dodgers — really, who is working today?? # Goblue",925795064210534406,
2017-11-01 14:14:41,1,,,,https://twitter.com/jakeberv/status/925788200366432256,0,@LACity,lol even doge gets paid more than we do,925788200366432256,
2017-11-01 13:47:50,5,,#,,https://twitter.com/LACity/status/925781443422208001,0,@LACity,The LA City Council commemorates # DiaDeLosMuertoshttps://www.pscp.tv/w/bMiuxjFNV0t3TUJvcnJNRWJ8MU93eFdNZ0Rad1pHUZ-fXhqqNH415Gk67Flph8xFN-R7B5RtsuQPaB009s2W …,925781443422208001,
2017-11-01 11:38:22,0,,,,https://twitter.com/blkahn/status/925748860080836608,0,@LACity,same,925748860080836608,
2017-11-01 11:32:15,3,,,@,https://twitter.com/ccthomson/status/925747319630368773,1,@LACity,I think I need to find a job at @ LACity pic.twitter.com/EddYK1tJUv,925747319630368773,
2017-11-01 10:35:31,0,,# #,@DodgersAccel @ @ @,https://twitter.com/michaelodenLive/status/925733042957586432,0,@LACity,Let's do this @DodgersAccel @ Dodgers @ LACity @ AlinaTNBM # Thinktobedifferent # FinalStephttp://Michaelodenlive.com,925733042957586432,
2017-11-01 01:32:10,1,,,@,https://twitter.com/MorfasChrisN/status/925596305220542464,0,@LACity,Congrats @ ejfbruins Go get 'em!,925596305220542464,
2017-10-31 23:23:31,0,,,@,https://twitter.com/_mypuzzles/status/925563927966097408,0,@LACity,"@ LACity that’s your agent , you all better own up to your responsibilities pic.twitter.com/UkPoxbYXGe",925563927966097408,
2017-10-31 22:43:57,0,,,,https://twitter.com/_mypuzzles/status/925553972147974145,0,@LACity,"It’s not even 12. Threaten me again, and you’ll pay the consequences. Keep n eye on this.",925553972147974145,
2017-10-31 22:37:06,4,,#,@,https://twitter.com/LACity/status/925552246846382080,1,@LACity,Let's go @ Dodgers! # ThisTeamhttps://twitter.com/mayorofla/status/925512394821873665 …,925552246846382080,
2017-10-31 22:26:56,0,,,@ @,https://twitter.com/_mypuzzles/status/925549691185401856,0,@LACity,Have @ Twitter delete it @ LACity this is not lawful. They’ve deleted my tweet before because that’s exactly how trumps sounds when he talks,925549691185401856,
2017-10-31 22:14:06,0,,,,https://twitter.com/garfieldwatch/status/925546459444928512,0,@LACity,Be safe please!!,925546459444928512,
