username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FrugalFilipino;2017-10-30 16:59;0;0;"I'm having a "Coming To America" moment, but instead of Queens, NY I'm in Hollywood! It's what's… https://www. instagram.com/p/Ba5DfvHgtqm/";;;;"925150287794462722";https://twitter.com/FrugalFilipino/status/925150287794462722
XuxaChaves;2017-10-30 16:59;0;0;"You never know what you will find. Love my Sunday strolls! #streetphotographyla #artsdistrict … https://www. instagram.com/p/Ba5DavGF7f-/";;;#streetphotographyla #artsdistrict;"925150205837791233";https://twitter.com/XuxaChaves/status/925150205837791233
MVlanuevaEraMB;2017-10-30 16:59;1;0;"¿Estará en este grupo la nueva #MissVenezuela ? ¿Cuál es tu favorita? . @exclusiva_ve … https://www. instagram.com/p/Ba5DakrggOZ/";;@exclusiva_ve;#MissVenezuela;"925150114049601537";https://twitter.com/MVlanuevaEraMB/status/925150114049601537
DSnyderDrums;2017-10-30 16:59;0;1;"Live on location from the video shoot, special thanks nathan_zeavin_yay . . . . . . . . #drum … https://www. instagram.com/p/Ba5DZ6ClxLS/";;;#drum;"925150095594704896";https://twitter.com/DSnyderDrums/status/925150095594704896
cursebreakers;2017-10-30 16:59;0;0;"#Repost @epicfr33la @cbfreela #LX19 ・・・ PINES x BROOKS. @TLHmusic @JLTrafik … https://www. instagram.com/p/Ba5DZ7SlXGU/";;@epicfr33la @cbfreela @TLHmusic @JLTrafik;#Repost #LX19;"925150085138100224";https://twitter.com/cursebreakers/status/925150085138100224
CityofAngelsBox;2017-10-30 16:58;0;1;"Let’s do this one! 6 pm with #alexbrenes 7 pm with @uscboxing 8 pm with xorrybureau No… https://www. instagram.com/p/Ba5DZBUBSNI/";;@uscboxing;#alexbrenes;"925150056096952320";https://twitter.com/CityofAngelsBox/status/925150056096952320
LipstickSister;2017-10-30 16:58;2;2;"Check out our new #wonderwoman feature on #entrepreneuress @ShalinisWorld as she shares with us… https://www. instagram.com/p/Ba5DXRAFJmH/";;@ShalinisWorld;#wonderwoman #entrepreneuress;"925149991181701120";https://twitter.com/LipstickSister/status/925149991181701120
Rexkwondoty;2017-10-30 16:58;0;1;"Camp Flog Gnaw was 10/10 this year #campfloggnaw @Exposition Park https://www. instagram.com/p/Ba5DSd2HAs3/";;@Exposition;#campfloggnaw;"925149842573205504";https://twitter.com/Rexkwondoty/status/925149842573205504
topshelfvocal;2017-10-30 16:57;1;0;"TONIGHT | 8 PM. Come on over to Rockwell Table & Stage for a spooktacular triple bill! See you… https://www. instagram.com/p/Ba5DRSFBRrn/";;;;"925149783341305857";https://twitter.com/topshelfvocal/status/925149783341305857
LoboscoRob;2017-10-30 16:57;0;0;"#hollywoodhills #hollywood #burbank #tennis #suave #sheek #cool #fun #tennisclub @Toluca Lake… https://www. instagram.com/p/Ba5DOnxgv0i/";;@Toluca;#hollywoodhills #hollywood #burbank #tennis #suave #sheek #cool #fun #tennisclub;"925149698154991616";https://twitter.com/LoboscoRob/status/925149698154991616
FireplugRebecca;2017-10-30 16:57;0;0;"I am signed up for my spring 2018 classes at CSULA thanks to my priority registration since I am… https://www. instagram.com/p/Ba5DORTl2oN/";;;;"925149680425668611";https://twitter.com/FireplugRebecca/status/925149680425668611
blownkillabee;2017-10-30 16:56;0;0;"Big fucking day tomorrow LA #worldseries #worldseries2017 #dodgerstadium #hometeam … https://www. instagram.com/p/Ba5DH9nlV8h/";;;#worldseries #worldseries2017 #dodgerstadium #hometeam;"925149460706947072";https://twitter.com/blownkillabee/status/925149460706947072
GayWeHo;2017-10-30 16:56;5;5;"PARKING: If you MUST drive, we have some info for you too! Learn more: #WeHoCity http://www. weho.org/visitors/event s-in-the-city/halloween-carnaval/parking-information … pic.twitter.com/jtvutAyhG3";;;#WeHoCity;"925149458290978817";https://twitter.com/GayWeHo/status/925149458290978817
Cinders_IB;2017-10-30 16:56;2;4;"Great film conversation and coffee in this morning's meeting at Soho House, what a beautiful… https://www. instagram.com/p/Ba5DHIbBQ0y/";;;;"925149441476255749";https://twitter.com/Cinders_IB/status/925149441476255749
Hollywood2Be;2017-10-30 16:56;0;0;"The Haunting (SHORT HORROR COMEDY FILM) featuring ramboleethechief @FreshDiscoMusic @tee_hud12 … https://www. instagram.com/p/Ba5DGQJBISu/";;@FreshDiscoMusic @tee_hud12;;"925149436799434752";https://twitter.com/Hollywood2Be/status/925149436799434752
LoboscoRob;2017-10-30 16:56;0;0;"#hollywoodhills #hollywood #burbank #tennis #suave #sheek #cool #fun #tennisclub @Toluca Lake… https://www. instagram.com/p/Ba5DGpRgCqw/";;@Toluca;#hollywoodhills #hollywood #burbank #tennis #suave #sheek #cool #fun #tennisclub;"925149425055432706";https://twitter.com/LoboscoRob/status/925149425055432706
the4thquarter;2017-10-30 16:56;0;0;"NFL TODDLER 2 PC FLEECE SETS #steelers #broncos #raiders @The 4th Quarter Shop https://www. instagram.com/p/Ba5DGhEn_jh/";;@The;#steelers #broncos #raiders;"925149420248805377";https://twitter.com/the4thquarter/status/925149420248805377
OluseyiThoughts;2017-10-30 16:56;0;0;"#verseoftheday @Rodeo Drive https://www. instagram.com/p/Ba5DE7GFGVq/";;@Rodeo;#verseoftheday;"925149356554178560";https://twitter.com/OluseyiThoughts/status/925149356554178560
WesleyHarris5;2017-10-30 16:55;0;0;"Here come another batch of photos at @stanleecomikaze . #stanleecomiccon @Stan Lee's Comikaze https://www. instagram.com/p/Ba5DDc0nUNz/";;@stanleecomikaze @Stan;#stanleecomiccon;"925149313843507200";https://twitter.com/WesleyHarris5/status/925149313843507200
Roam_e;2017-10-30 16:55;0;0;"Parents, come trick-or-treating on Foothill Blvd tomo! We’re opening our door with treats for… https://www. instagram.com/p/Ba5DBO_gmVv/";;;;"925149232465629184";https://twitter.com/Roam_e/status/925149232465629184
FrugalFilipino;2017-10-30 16:55;0;0;"I'm having a "Coming To America" moment, but instead of Queens, NY I'm in Hollywood! It's what's… https://www. instagram.com/p/Ba5DAxpAMG4/";;;;"925149223913435136";https://twitter.com/FrugalFilipino/status/925149223913435136
