,0,1,2,predOp
0,I,PRP,O,O
1,'m,VBP,O,B-verb.stative
2,at,IN,O,O
3,Hollywood,NNP,O,B-noun.location
4,Walk,NNP,O,I-noun.location
5,of,IN,O,O
6,Fame,NNP,O,B-noun.communication
7,in,IN,O,O
8,Hollywood,NNP,O,B-noun.location
9,",",",",O,O
10,CA,NNP,O,B-noun.person
11,https,NN,O,I-noun.person
12,:,:,O,O
13,//www,NN,O,B-noun.communication
14,.,.,O,O
15,swarmapp.com/c/bz3q4eQHgbL,NN,O,B-noun.cognition
16,Ru,NN,O,O
17,Paul,NNP,O,B-noun.person
18,got,VBD,O,B-verb.possession
19,a,DT,O,O
20,star,NN,O,B-noun.artifact
21,on,IN,O,O
22,The,DT,O,O
23,Hollywood,NNP,O,B-noun.communication
24,Walk,NNP,O,I-noun.communication
25,of,IN,O,O
26,Fame,NNP,O,B-noun.artifact
27,today,NN,O,B-noun.time
28,and,CC,O,O
29,my,PRP$,O,O
30,heart,NN,O,B-noun.artifact
31,is,VBZ,O,B-verb.stative
32,so,RB,O,O
33,full,JJ,O,O
34,of,IN,O,O
35,love,NN,O,B-noun.feeling
36,about,IN,O,O
37,it,PRP,O,O
38,.,.,O,O
39,Happy,JJ,O,O
40,Monday,NNP,O,B-noun.time
41,!,.,O,O
42,#,#,O,O
43,mondayisthebestdayoftheweek,JJ,O,O
44,@,NN,O,B-noun.communication
45,Hollywood,NNP,O,I-noun.communication
46,Walk,NNP,O,I-noun.communication
47,of,IN,O,O
48,Fame,NNP,O,B-noun.act
49,https,NN,O,I-noun.act
50,:,:,O,O
51,//www,NN,O,B-noun.communication
52,.,.,O,O
53,instagram.com/p/BghRbiZlmY4/,NN,O,B-noun.cognition
54,Congrats,NNS,O,B-noun.communication
55,to,TO,O,O
56,RuPaulerino,VB,O,B-verb.motion
57,on,IN,O,O
58,his,PRP$,O,O
59,Hollywood,NNP,O,B-noun.location
60,walk,NN,O,I-noun.location
61,of,IN,O,O
62,fame,JJ,O,O
63,star,NN,O,B-noun.communication
64,!,.,O,O
65,pic.twitter.com/pab5x1WXTO,NN,O,B-noun.cognition
66,#,#,O,O
67,DYK,NNP,O,B-noun.communication
68,@,NNP,O,I-noun.communication
69,GloriaEstefan,NNP,O,I-noun.communication
70,has,VBZ,O,O
71,sold,VBN,O,B-verb.stative
72,over,IN,O,O
73,100,CD,O,O
74,million,CD,O,O
75,records,NNS,O,B-noun.communication
76,",",",",O,O
77,received,VBD,O,B-verb.possession
78,three,CD,O,O
79,Grammy,NNP,O,B-noun.person
80,Awards,NNP,O,I-noun.person
81,and,CC,O,O
82,been,VBN,O,O
83,awarded,VBN,O,B-verb.social
84,a,DT,O,O
85,star,NN,O,B-noun.artifact
86,on,IN,O,O
87,the,DT,O,O
88,Hollywood,NNP,O,B-noun.communication
89,Walk,NNP,O,I-noun.communication
90,of,IN,O,O
91,Fame,NNP,O,B-noun.communication
92,?,.,O,O
93,Learn,NNP,O,B-noun.person
94,more,JJR,O,O
95,of,IN,O,O
96,her,PRP$,O,O
97,incredible,JJ,O,O
98,story,NN,O,B-noun.communication
99,from,IN,O,O
100,@,NNP,O,B-noun.person
101,OnYourFeetBway,NNP,O,I-noun.person
102,",",",",O,O
103,here,RB,O,O
104,4/10,CD,O,O
105,-,:,O,O
106,4/15,CD,O,O
107,!,.,O,O
108,http,NN,O,B-noun.person
109,:,:,O,O
110,//,JJ,O,O
111,bit.ly/onyrfeetbway,NN,O,B-noun.person
112,pic.twitter.com/RxbpUi8tDr,NN,O,I-noun.person
113,Now,RB,O,O
114,if,IN,O,O
115,only,RB,O,O
116,she,PRP,O,O
117,would,MD,O,O
118,set,VB,O,B-verb.contact
119,up,RP,O,O
120,a,DT,O,O
121,date,NN,O,B-noun.communication
122,to,TO,O,O
123,get,VB,O,B-verb.possession
124,her,PRP$,O,O
125,star,NN,O,B-noun.artifact
126,on,IN,O,O
127,the,DT,O,O
128,Hollywood,NNP,O,B-noun.communication
129,Walk,NNP,O,I-noun.communication
130,of,IN,O,O
131,Fame,NNP,O,B-noun.communication
132,:,:,O,O
133,),),O,O
134,),),O,O
135,),),O,O
136,https,NN,O,B-noun.communication
137,:,:,O,O
138,//,JJ,O,O
139,twitter.com/katyspics/stat,NN,O,B-noun.person
140,us/975843692350238727,JJ,O,O
141,…,NN,O,B-noun.cognition
142,RuPaul,NNP,O,B-noun.person
143,becomes,VBZ,O,B-verb.communication
144,first,RB,O,O
145,drag,JJ,O,O
146,icon,NN,O,B-noun.time
147,to,TO,O,O
148,get,VB,O,B-verb.possession
149,a,DT,O,O
150,star,NN,O,B-noun.artifact
151,on,IN,O,O
152,the,DT,O,O
153,Hollywood,NNP,O,B-noun.person
154,Walk,NNP,O,I-noun.person
155,Of,IN,O,O
156,Fame,NNP,O,B-noun.act
157,http,NN,O,I-noun.act
158,:,:,O,O
159,//,JJ,O,O
160,dlvr.it/QLdtRB,NN,O,B-noun.person
