,0,1,2,predOp
0,I,PRP,O,O
1,'m,VBP,O,O
2,having,VBG,O,B-verb.possession
3,a,DT,O,O
4,Coming,VBG,O,B-verb.motion
5,To,TO,O,O
6,America,NNP,O,B-noun.location
7,'','',O,O
8,moment,NN,O,B-noun.time
9,",",",",O,O
10,but,CC,O,O
11,instead,RB,O,O
12,of,IN,O,O
13,Queens,NNP,O,B-noun.time
14,",",",",O,O
15,NY,NNP,O,B-noun.location
16,I,PRP,O,O
17,'m,VBP,O,B-verb.stative
18,in,IN,O,O
19,Hollywood,NNP,O,B-noun.location
20,!,.,O,O
21,It,PRP,O,O
22,'s,VBZ,O,B-verb.stative
23,what's…,JJ,O,O
24,https,NN,O,B-noun.communication
25,:,:,O,O
26,//www,NN,O,B-noun.communication
27,.,.,O,O
28,instagram.com/p/Ba5DfvHgtqm/,NN,O,B-noun.cognition
29,'','',O,O
30,You,PRP,O,O
31,never,RB,O,O
32,know,VBP,O,B-verb.cognition
33,what,WP,O,O
34,you,PRP,O,O
35,will,MD,O,O
36,find,VB,O,B-verb.cognition
37,.,.,O,O
38,Love,VB,O,B-verb.emotion
39,my,PRP$,O,O
40,Sunday,NNP,O,B-noun.time
41,strolls,VBZ,O,B-verb.stative
42,!,.,O,O
43,#,#,O,O
44,streetphotographyla,JJ,O,O
45,#,#,O,O
46,artsdistrict,JJ,O,O
47,…,NN,O,B-noun.cognition
48,https,NN,O,I-noun.cognition
49,:,:,O,O
50,//www,NN,O,B-noun.communication
51,.,.,O,O
52,instagram.com/p/Ba5DavGF7f-/,NN,O,B-noun.cognition
53,¿Estará,NN,O,B-noun.person
54,en,FW,O,O
55,este,NN,O,B-noun.person
56,grupo,NN,O,I-noun.person
57,la,FW,O,O
58,nueva,JJ,O,O
59,#,#,O,O
60,MissVenezuela,NNP,O,B-noun.person
61,?,.,O,O
62,¿Cuál,NNP,O,B-noun.person
63,es,VBZ,O,B-verb.possession
64,tu,NN,O,B-noun.artifact
65,favorita,NN,O,I-noun.artifact
66,?,.,O,O
67,.,.,O,O
68,@,CC,O,O
69,exclusiva_ve,JJ,O,O
70,…,JJ,O,O
71,https,NN,O,B-noun.communication
72,:,:,O,O
73,//www,NN,O,B-noun.communication
74,.,.,O,O
75,instagram.com/p/Ba5DakrggOZ/,NN,O,B-noun.cognition
76,Live,NNP,O,B-noun.person
77,on,IN,O,O
78,location,NN,O,B-noun.location
79,from,IN,O,O
80,the,DT,O,O
81,video,NN,O,B-noun.communication
82,shoot,NN,O,I-noun.communication
83,",",",",O,O
84,special,JJ,O,O
85,thanks,NNS,O,B-noun.communication
86,nathan_zeavin_yay,RB,O,O
87,.,.,O,O
88,.,.,O,O
89,.,.,O,O
90,.,.,O,O
91,.,.,O,O
92,.,.,O,O
93,.,.,O,O
94,.,.,O,O
95,#,#,O,O
96,drum,JJ,O,O
97,…,JJ,O,O
98,https,NN,O,B-noun.communication
99,:,:,O,O
100,//www,NN,O,B-noun.communication
101,.,.,O,O
