username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NahhasAlbaraa;2018-03-19 14:54;0;0;"I'm at Hollywood Walk of Fame in Hollywood , CA https://www. swarmapp.com/c/bz3q4eQHgbL";;;;"975852919483502592";https://twitter.com/NahhasAlbaraa/status/975852919483502592
LouGadot;2018-03-19 14:48;0;0;"Ru Paul got a star on The Hollywood Walk of Fame today and my heart is so full of love about it.";;;;"975851564647747585";https://twitter.com/LouGadot/status/975851564647747585
ElenaKorny;2018-03-19 14:36;0;0;"Happy Monday! #mondayisthebestdayoftheweek @Hollywood Walk of Fame https://www. instagram.com/p/BghRbiZlmY4/";;@Hollywood;#mondayisthebestdayoftheweek;"975848590513004551";https://twitter.com/ElenaKorny/status/975848590513004551
Justin__Matters;2018-03-19 14:22;0;1;"Congrats to RuPaulerino on his Hollywood walk of fame star! pic.twitter.com/pab5x1WXTO";;;;"975845029838127104";https://twitter.com/Justin__Matters/status/975845029838127104
KimmelCenter;2018-03-19 14:19;1;2;"#DYK @GloriaEstefan has sold over 100 million records, received three Grammy Awards and been awarded a star on the Hollywood Walk of Fame ? Learn more of her incredible story from @OnYourFeetBway , here 4/10 - 4/15! http:// bit.ly/onyrfeetbway pic.twitter.com/RxbpUi8tDr";;@GloriaEstefan @OnYourFeetBway;#DYK;"975844109104680961";https://twitter.com/KimmelCenter/status/975844109104680961
slatykaty;2018-03-19 14:18;0;3;"Now if only she would set up a date to get her star on the Hollywood Walk of Fame :))) https:// twitter.com/katyspics/stat us/975843692350238727 …";;;;"975843947246362624";https://twitter.com/slatykaty/status/975843947246362624
BbwJordan;2018-03-19 14:12;0;0;"RuPaul becomes first drag icon to get a star on the Hollywood Walk Of Fame http:// dlvr.it/QLdtRB pic.twitter.com/pymaZezcvE";;;;"975842528145494016";https://twitter.com/BbwJordan/status/975842528145494016
Aleksander1441;2018-03-19 14:08;0;0;"Mark Hamill Got a Star On The Hollywood Walk of Fame and the Photos are Perfect http:// crwd.fr/2Ifa0AF";;;;"975841381838094336";https://twitter.com/Aleksander1441/status/975841381838094336
AgradableLocura;2018-03-19 14:05;0;0;"#ALTinforma RuPaul becomes first drag icon to get a star on the Hollywood Walk Of Fame http:// dlvr.it/QLdrSK @NME pic.twitter.com/z6tLaVsgSG";;@NME;#ALTinforma;"975840614053851136";https://twitter.com/AgradableLocura/status/975840614053851136
HPERISCOTH1;2018-03-19 13:57;0;0;"RuPaul becomes first drag icon to get a star on the Hollywood Walk Of Fame https:// goo.gl/fb/eWHqob";;;;"975838726046801921";https://twitter.com/HPERISCOTH1/status/975838726046801921
mtvnetworksjobs;2018-03-19 13:40;0;0;"RuPaul Is the First Drag Queen to Get a Star on the Hollywood Walk of Fame pic.twitter.com/QAQCm32TVm";;;;"975834505645879296";https://twitter.com/mtvnetworksjobs/status/975834505645879296
FreeTVFresno;2018-03-19 13:29;0;0;"-->> Lynda Carter is finally getting her star on the Hollywood Walk of Fame via #MeTV #Fresno #FreeTV https:// fb.me/NSX8LdlM";;;#MeTV #Fresno #FreeTV;"975831571059150853";https://twitter.com/FreeTVFresno/status/975831571059150853
lisarinna;2018-03-19 13:26;12;199;"A Big Congrats to @RuPaul for your Star on the Hollywood Walk of Fame Honey!!! pic.twitter.com/pBjvkgAYyS";;@RuPaul;;"975830923248730112";https://twitter.com/lisarinna/status/975830923248730112
BoosterBricks;2018-03-19 13:24;0;1;"Congratulations @HamillHimself , for receiving a star on the Hollywood Walk of Fame !! Thank you for inspiring so many generations and LEGO sets! #StarWars pic.twitter.com/4jWABETLFd";;@HamillHimself;#StarWars;"975830274192957445";https://twitter.com/BoosterBricks/status/975830274192957445
