I PRP O
'm VBP O
at IN O
Hollywood NNP O
Walk NNP O
of IN O
Fame NNP O
in IN O
Hollywood NNP O
, , O
CA NNP O
https NN O
: : O
//www NN O
. . O
swarmapp.com/c/bz3q4eQHgbL NN O

Ru NN O
Paul NNP O
got VBD O
a DT O
star NN O
on IN O
The DT O
Hollywood NNP O
Walk NNP O
of IN O
Fame NNP O
today NN O
and CC O
my PRP$ O
heart NN O
is VBZ O
so RB O
full JJ O
of IN O
love NN O
about IN O
it PRP O
. . O

Happy JJ O
Monday NNP O
! . O
# # O
mondayisthebestdayoftheweek JJ O
@ NN O
Hollywood NNP O
Walk NNP O
of IN O
Fame NNP O
https NN O
: : O
//www NN O
. . O
instagram.com/p/BghRbiZlmY4/ NN O

Congrats NNS O
to TO O
RuPaulerino VB O
on IN O
his PRP$ O
Hollywood NNP O
walk NN O
of IN O
fame JJ O
star NN O
! . O
pic.twitter.com/pab5x1WXTO NN O

# # O
DYK NNP O
@ NNP O
GloriaEstefan NNP O
has VBZ O
sold VBN O
over IN O
100 CD O
million CD O
records NNS O
, , O
received VBD O
three CD O
Grammy NNP O
Awards NNP O
and CC O
been VBN O
awarded VBN O
a DT O
star NN O
on IN O
the DT O
Hollywood NNP O
Walk NNP O
of IN O
Fame NNP O
? . O
Learn NNP O
more JJR O
of IN O
her PRP$ O
incredible JJ O
story NN O
from IN O
@ NNP O
OnYourFeetBway NNP O
, , O
here RB O
4/10 CD O
- : O
4/15 CD O
! . O
http NN O
: : O
// JJ O
bit.ly/onyrfeetbway NN O
pic.twitter.com/RxbpUi8tDr NN O

Now RB O
if IN O
only RB O
she PRP O
would MD O
set VB O
up RP O
a DT O
date NN O
to TO O
get VB O
her PRP$ O
star NN O
on IN O
the DT O
Hollywood NNP O
Walk NNP O
of IN O
Fame NNP O
: : O
) ) O
) ) O
) ) O
https NN O
: : O
// JJ O
twitter.com/katyspics/stat NN O
us/975843692350238727 JJ O
… NN O

RuPaul NNP O
becomes VBZ O
first RB O
drag JJ O
icon NN O
to TO O
get VB O
a DT O
star NN O
on IN O
the DT O
Hollywood NNP O
Walk NNP O
Of IN O
Fame NNP O
http NN O
: : O
// JJ O
dlvr.it/QLdtRB NN O
pic.twitter.com/pymaZezcvE NN O

Mark NNP O
Hamill NNP O
Got NNP O
a DT O
Star NN O
On IN O
The DT O
Hollywood NNP O
Walk NNP O
of IN O
Fame NNP O
and CC O
the DT O
Photos NNP O
are VBP O
Perfect NNP O
http NN O
: : O
// NN O
crwd.fr/2Ifa0AF NN O

# # O
ALTinforma NNP O
RuPaul NNP O
becomes VBZ O
first RB O
drag JJ O
icon NN O
to TO O
get VB O
a DT O
star NN O
on IN O
the DT O
Hollywood NNP O
Walk NNP O
Of IN O
Fame NNP O
http NN O
: : O
// JJ O
dlvr.it/QLdrSK NN O
@ NNP O
NME NNP O
pic.twitter.com/z6tLaVsgSG NN O

RuPaul NNP O
becomes VBZ O
first RB O
drag JJ O
icon NN O
to TO O
get VB O
a DT O
star NN O
on IN O
the DT O
Hollywood NNP O
Walk NNP O
Of IN O
Fame NNP O
https NN O
: : O
// NN O
goo.gl/fb/eWHqob NN O

RuPaul NNP O
Is VBZ O
the DT O
First NNP O
Drag NNP O
Queen NNP O
to TO O
Get VB O
a DT O
Star NN O
on IN O
the DT O
Hollywood NNP O
Walk NNP O
of IN O
Fame NNP O
pic.twitter.com/QAQCm32TVm NN O

-- : O
> NN O
> JJ O
Lynda NNP O
Carter NNP O
is VBZ O
finally RB O
getting VBG O
her PRP$ O
star NN O
on IN O
the DT O
Hollywood NNP O
Walk NNP O
of IN O
Fame NNP O
via IN O
# # O
MeTV NNP O
# # O
Fresno NNP O
# # O
FreeTV NNP O
https NN O
: : O
// NN O
fb.me/NSX8LdlM NN O

A DT O
Big NNP O
Congrats NNPS O
to TO O
@ VB O
RuPaul NNP O
for IN O
your PRP$ O
Star NN O
on IN O
the DT O
Hollywood NNP O
Walk NNP O
of IN O
Fame NNP O
Honey NNP O
! . O
! . O
! . O
pic.twitter.com/pBjvkgAYyS NN O

Congratulations NNS O
@ VBP O
HamillHimself NNP O
, , O
for IN O
receiving VBG O
a DT O
star NN O
on IN O
the DT O
Hollywood NNP O
Walk NNP O
of IN O
Fame NNP O
! . O
! . O
Thank NNP O
you PRP O
for IN O
inspiring VBG O
so RB O
many JJ O
generations NNS O
and CC O
LEGO NNP O
sets VBZ O
! . O
# # O
StarWars NNP O
pic.twitter.com/4jWABETLFd NN O

While IN O
I PRP O
was VBD O
scouring VBG O
the DT O
Hollywood NNP O
Walk NNP O
of IN O
Fame NNP O
, , O
I PRP O
found VBD O
Bane NNP O
's POS O
mom NN O
's POS O
star NN O
. . O
She PRP O
does VBZ O
n't RB O
get VB O
the DT O
credit NN O
she PRP O
deserves VBZ O
in IN O
raising VBG O
such JJ O
a DT O
treacherous JJ O
villain NN O
imo NN O
. . O
Check VB O
out RP O
the DT O
full JJ O
video NN O
here RB O
https VBZ O
: : O
// NN O
bars.tl/wDpJErW0pL NN O
pic.twitter.com/63gsPaVtjE NN O

RuPaul NNP O
first RB O
drag VBZ O
icon NN O
to TO O
get VB O
a DT O
star NN O
on IN O
the DT O
Hollywood NNP O
Walk NNP O
Of IN O
Fame NNP O
http NN O
: : O
// JJ O
bit.ly/2FVKO0K NN O
# # O
LGBTQ NNP O
# # O
LGBT NNP O
# # O
LGBTI NNP O
# # O
UK NNP O
# # O
Australia NNP O
# # O
Ireland NNP O
# # O
NewZealand NNP O
# # O
Sweden NNP O
# # O
Denmark NNP O
# # O
Norway NNP O
# # O
USA NNP O
# # O
Canada NNP O

RuPaul NNP O
first RB O
drag VBZ O
icon NN O
to TO O
get VB O
a DT O
star NN O
on IN O
the DT O
Hollywood NNP O
Walk NNP O
Of IN O
Fame NNP O
https NN O
: : O
// NN O
mysocalledgaylife.co.uk/2018/03/rupaul NN O
-first-drag-icon-to-get-a-star-on-the-hollywood-walk-of-fame/ NNP O
… NNP O
pic.twitter.com/cuDr1i6s6w NN O

Sad JJ O
people NNS O
hold VBP O
celebs NN O
to TO O
a DT O
higher JJR O
standard NN O
than IN O
the DT O
potus NN O
who WP O
has VBZ O
a DT O
star NN O
on IN O
the DT O
Hollywood NNP O
Walk NNP O
of IN O
Fame NNP O
. . O
But CC O
Trump NNP O
calls VBZ O
