username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SarahMShaker;2017-12-31 05:29;0;0;"Chicken soup date with Amanda (@Atla in New York, NY)https://www.swarmapp.com/c/kJ9q9qMR7GB";;@Atla;;"947255897608413185";https://twitter.com/SarahMShaker/status/947255897608413185
trpiii;2017-12-31 05:29;0;0;"Elizabeth (st), you’re looking quite divine tonight. # lines # nyc # elizabethstreet # spring @… https://www.instagram.com/p/BdWGXKhHFR5/";;@;# # # #;"947255868722049024";https://twitter.com/trpiii/status/947255868722049024
memehuffard;2017-12-31 05:29;0;1;"got to see these kids in the city. # nyc @District Social https://www.instagram.com/p/BdWH83GBniU/";;@District;#;"947255863189807104";https://twitter.com/memehuffard/status/947255863189807104
MargiePlus;2017-12-31 05:29;0;0;"Hosting and performing @ thegaloremag Coachella party in April! Another huge highlight of 2017… https://www.instagram.com/p/BdWH8e6DqzL/";;@;;"947255859180011520";https://twitter.com/MargiePlus/status/947255859180011520
guidodellatorre;2017-12-31 05:29;0;0;"en Central Park Manhatan https://www.instagram.com/p/BdWH8IcFIir/";;;;"947255838846128129";https://twitter.com/guidodellatorre/status/947255838846128129
rareca87;2017-12-31 05:29;0;0;"reputation—Taylor Swift # taylorswift # cassette # urbanoutfitters # popmusic # popculture… https://www.instagram.com/p/BdWH7w3AIcp/";;;# # # # #;"947255825382375426";https://twitter.com/rareca87/status/947255825382375426
QueenKiara20;2017-12-31 05:29;0;0;"For the lifetime of memories I'm going to have with these incredible… https://www.instagram.com/p/BdWH6cYjLATNmUwMaw00dQ3hpSyDSyJkZHF48o0/ …";;;;"947255781648461825";https://twitter.com/QueenKiara20/status/947255781648461825
DJnAsTyjAy;2017-12-31 05:29;0;1;"Tomorrow # NYE2018 ring in the new year with me at # Tejos 318 Belleville Turnpike North Arlington… https://www.instagram.com/p/BdWH52QnXZg/";;;# #;"947255755413041157";https://twitter.com/DJnAsTyjAy/status/947255755413041157
JACALDWELLPHOTO;2017-12-31 05:29;0;0;"drive around and took some photos for yagichang because he misses jersey city @Stanley Theater… https://www.instagram.com/p/BdWH5iynAG9/";;@Stanley;;"947255750530949120";https://twitter.com/JACALDWELLPHOTO/status/947255750530949120
JeremiahVW;2017-12-31 05:29;0;0;"Saturday Work-Out / Working out isn't always pretty ;) Wishing everyone a beautiful one… https://www.instagram.com/p/BdWH5OwFceB/";;;;"947255736073105408";https://twitter.com/JeremiahVW/status/947255736073105408
KaRLiTa019;2017-12-31 05:29;0;0;"Training and End of Year Celebration with my Herbadaughter Marcelle . . . # happysaturday… https://www.instagram.com/p/BdWH41OgmET/";;;#;"947255733279772673";https://twitter.com/KaRLiTa019/status/947255733279772673
tomthornton1986;2017-12-31 05:28;0;0;"Manhattan view with this one. The Empire State Building is behind us...honest! # NewYork # NYC… https://www.instagram.com/p/BdWH16AA2qn/";;;# #;"947255628476702721";https://twitter.com/tomthornton1986/status/947255628476702721
IAMPMUNA;2017-12-31 05:28;0;1;"Thank you so much edotbrady & @ mama_hope for having me at the # TejiendoFuturo Fundraiser! I had… https://www.instagram.com/p/BdWHjXoAMqc/";;@;#;"947255609807785984";https://twitter.com/IAMPMUNA/status/947255609807785984
NicArroyo;2017-12-31 05:28;0;0;"And it begins (@Rebar in New York, NY w/ @ j_wids @ danchiz)https://www.swarmapp.com/c/btLRLdZ3YJe";;@Rebar @ @;;"947255594649518080";https://twitter.com/NicArroyo/status/947255594649518080
Bballprodigy6;2017-12-31 05:28;0;0;"Was feelin to show some teeth @New York, New York https://www.instagram.com/p/BdWH01qA553/";;@New;;"947255585799471104";https://twitter.com/Bballprodigy6/status/947255585799471104
Calligrafist;2017-12-31 05:28;0;1;"I Love Shooting Sports - This Day @ KingJames x The @ Cavs Came Back to Beat The @ NYKnicks at The… https://www.instagram.com/p/BdWHzqwgXlq/";;@ @ @;;"947255552647843840";https://twitter.com/Calligrafist/status/947255552647843840
frankiecocktail;2017-12-31 05:28;0;0;"Just posted a photo @NYLO NYC https://www.instagram.com/p/BdWHzO2npDv1dHh_NHMAZCoqjxy5q4me517mkE0/ …";;@NYLO;;"947255539834134528";https://twitter.com/frankiecocktail/status/947255539834134528
ctimoldi;2017-12-31 05:28;0;0;"Christmas Lights like no other! # dykerheightschristmaslights # dykerheights @Dyker Heights… https://www.instagram.com/p/BdWF9XTFMxi/";;@Dyker;# #;"947255528463523840";https://twitter.com/ctimoldi/status/947255528463523840
tequilaisaname2;2017-12-31 05:28;0;1;"Just posted a photo @New York metropolitan area https://www.instagram.com/p/BdWHyR3jRlg/";;@New;;"947255492182794241";https://twitter.com/tequilaisaname2/status/947255492182794241
The_7thChamber;2017-12-31 05:27;0;0;"Burt Macklin, F.B.I @Williamsburg, Brooklyn https://www.instagram.com/p/BdWHrB7h8LH/";;@Williamsburg;;"947255454400499712";https://twitter.com/The_7thChamber/status/947255454400499712
fonuryilmaz;2017-12-31 05:27;0;0;"I'm at Hooters in Hackensack, NJhttps://www.swarmapp.com/c/jV2V31dcz6u";;;;"947255437325471744";https://twitter.com/fonuryilmaz/status/947255437325471744
DeshieldsTrains;2017-12-31 05:27;0;0;"Just posted a photo @New York, New York https://www.instagram.com/p/BdWHunDDeqK/";;@New;;"947255371361435648";https://twitter.com/DeshieldsTrains/status/947255371361435648
mikereyes;2017-12-31 05:27;0;5;"2017 was a good year. I graduated from college, left behind religious chains in Rexburg, and… https://www.instagram.com/p/BdWHuUmBiTv/";;;;"947255365401497601";https://twitter.com/mikereyes/status/947255365401497601
tkn921;2017-12-31 05:27;0;0;"Just posted a photo @B Flat Tribeca https://www.instagram.com/p/BdWHuHfBU7M/";;@B;;"947255353821007872";https://twitter.com/tkn921/status/947255353821007872
ezrabutler;2017-12-31 05:27;0;1;"*calls Health Department* Me: I’d like to report a health crisis. Operator: what’s the issue? Me: I’m in another restaurant playing Christmas music *after* December 25th. Him: what song? Me: “I’m Dreaming of a White Christmas” Him: but it’s snowing outside, don’t be a grinch.";;;;"947255314319110144";https://twitter.com/ezrabutler/status/947255314319110144
Tonkiel;2017-12-31 05:27;0;0;"O mangolão homem das neves @ clarissazappe em Prospect Park https://www.instagram.com/p/BdWHrDoFZHE/";;@;;"947255254776721409";https://twitter.com/Tonkiel/status/947255254776721409
M0nsterM1ke56;2017-12-31 05:27;0;0;"The waiting game... @Forest Hills Station House https://www.instagram.com/p/BdWHqroluW-/";;@Forest;;"947255236414058496";https://twitter.com/M0nsterM1ke56/status/947255236414058496
TotalTrafficNYC;2017-12-31 05:27;0;0;"Accident, right lane blocked in # Elizabeth on Rt 1-9 NB at Elizabeth Ave, stop and go traffic back to CR-51, delay of 4 mins # traffic";;;# #;"947255234417561600";https://twitter.com/TotalTrafficNYC/status/947255234417561600
MayMultiMedia;2017-12-31 05:26;0;0;""This Sunday Tune in to # TheSocialScientists on @ bbox_radio while Social Scientist @ davlester… https://www.instagram.com/p/BdWHpp4DHGC/";;@ @;#;"947255221155069952";https://twitter.com/MayMultiMedia/status/947255221155069952
PPersaud;2017-12-31 05:26;0;0;"Ace! @Suite 36 https://www.instagram.com/p/BdWHpj6jvo2/";;@Suite;;"947255202360512514";https://twitter.com/PPersaud/status/947255202360512514
